開始年月	終了年月	案件名	技術要素	担当	工程
2004年08月	2005年03月	広告配信システム開発	RedHatLinux9, PostgreSQL, PHP4, C言語	システムエンジニア	詳細設計, プログラミング, テスト
2004年10月	2004年10月	会員登録サイト開発	RedHatLinux9, PostgreSQL, PHP4	システムエンジニア	基本設計, 詳細設計, プログラミング, テスト
2004年11月	2005年03月	ECサイトシステム開発	RedHatLinux9, PostgreSQL, PHP4	プロジェクトリーダー	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 開発管理
2005年04月	2005年08月	アフィリエイトシステム開発	RedHatLinux9, PostgreSQL, PHP4	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守
2005年04月	2005年08月	web/mail/fileサーバ運用・保守	RedHatLinux9, PostgreSQL	システムエンジニア	運用保守
2005年04月	2005年08月	PCメール配信システム開発・保守	RedHatLinux9, PostgreSQL, PHP4, Perl	プログラマ	詳細設計, プログラミング, テスト, 運用保守
2005年05月	2005年07月	ECサイトシステム開発	FreeBSD4.0, PostgreSQL, Perl, mod_perl	システムエンジニア	詳細設計, テスト
2005年07月	2005年10月	ECサイトシステム移行・DB移行・追加開発	RedHatLinux9, FreeBSD4.0, PostgreSQL, MySQL, PHP4, Perl	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト
2005年08月	2005年10月	大学向け内部広報システム開発	FedoraCore2, MySQL, PHP4, Smarty	システムエンジニア	基本設計, 詳細設計, プログラミング, テスト
2005年10月	2005年11月	大学向け履修希望集約システム開発	FedoraCore, MySQL, PHP4	システムエンジニア	基本設計, 詳細設計, プログラミング, テスト
2006年01月	2006年04月	大学向け出欠管理システム開発	FedoraCore, PostgreSQL, PHP5, Smarty	プロジェクトリーダー	要求定義, 基本設計, 詳細設計, プログラミング, テスト
2006年04月	2006年11月	大学向け出欠管理システム追加開発・保守	FedoraCore, PostgreSQL, PHP5, Smarty	システムエンジニア	基本設計, 詳細設計, プログラミング, テスト, 運用保守
2006年07月	2006年10月	ペット関連SNS拡張開発	FedoraCore, PostgreSQL, PHP5, Mojavi	システムエンジニア	詳細設計, プログラミング, テスト
2006年09月	2006年11月	大学向け履修希望集約システム開発・運用	FedoraCore, PostgreSQL, PHP5, Mojavi	プロジェクトリーダー	要求定義, 基本設計, 詳細設計, プログラミング, テスト
2006年10月	2006年10月	大学向け出欠管理システム追加開発	FedoraCore, PostgreSQL, PHP5, Smarty	システムエンジニア	基本設計, 詳細設計, プログラミング, テスト, 開発管理, 運用保守
2006年11月	2006年12月	不動産ポータル・バナー広告管理・営業支援CMS開発	CentOS4.4, MySQL5.1, PHP5, Smarty	プログラマ	プログラミング, テスト, 開発管理
2006年12月	2007年02月	不動産ポータル・アクセスログ解析ツール開発	CentOS4.4, MySQL5.1, PHP5	システムエンジニア	要求定義, テスト, 開発管理
2007年02月	2007年04月	不動産ポータル・モバイルASP拡張開発	CentOS4.4, MySQL5.1, PHP5, Smarty	システムエンジニア	要求定義, 詳細設計, テスト
2007年04月	2007年07月	不動産ポータル・検索機能リニューアル	CentOS4.4, MySQL5.1, PHP5, Smarty	システムエンジニア	要求定義, 詳細設計, テスト
2007年07月	2007年09月	モバイルSNS開発	CentOS4.4, MySQL5.1, PHP5, Smarty	プログラマ	プログラミング, テスト
2007年10月	2007年11月	製薬会社PCサイトリニューアル	RedHat/ES4, Oracle10g, PHP5, Smarty, ASP.net	プログラマ	プログラミング, テスト
2007年11月	2008年01月	サイト製作会社・ページ作成/管理システム	RedHat/ES4, MySQL5.1, PHP4, Ethna	システムエンジニア	基本設計, 詳細設計, プログラミング, テスト
2010年04月	2010年12月	ギフト情報ポータルサイト	CentOS5, MySQL5, PHP5, WordPress	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守
2010年11月	2011年07月	学会ホームページリニューアル	CentOS5, MySQL5, PHP5, WordPress	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守
2010年12月	2011年05月	音声/画像再生iPhoneアプリケーション	iOS/Objective-C	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守
2011年05月	2011年07月	医療機関向けiPhone/iPadアプリケーション	CentOS5, iOS/Objective-C, HTML	システムコンサルタント	要求定義, 基本設計
2011年04月	2012年03月	企業向けクラウドサービス・ポータルサイト	SCLinux6, MySQL5, PHP5, CakePHP1.3, jQuery	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2011年10月	2012年10月	給与計算ソフトウェア開発・導入支援・カスタマイズ	Windows, Filemaker12, Filemaker12	システムコンサルタント, システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2013年03月	2013年07月	ゲームプラットフォーム企画・検証（非技術職）	PHP, MySQL	プラットフォーム企画職（正社員）	要求定義, テスト, 開発管理
2013年08月	2015年09月	マーケティングオートメーション開発	PHP, MySQL, HTML/CSS, JavaScript, Ruby, Python	取締役CTO（開発責任者）	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2015年10月	2018年09月	オンラインクリニックプラットフォーム	Ruby, HTML/CSS, JavaScript	CTO（開発責任者）	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2015年10月	2018年09月	経営管理職（非技術職）	Ruby, HTML/CSS, JavaScript, Python, PHP	取締役COO	要求定義, 開発管理
2018年10月	2025年05月	求人・求職者シェアリングサービス（中途採用向け）	Ruby, HTML/CSS, JavaScript, AWS, heroku	CTO（開発責任者）	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2018年10月	2019年02月	スタートアップデータベースサービス	Ruby, HTML/CSS, JavaScript, AWS, heroku	開発責任者	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2018年10月	2024年02月	オンラインクリニックプラットフォーム	Ruby, HTML/CSS, JavaScript, AWS, heroku	CTO（開発責任者）	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2018年12月	2019年05月	人材派遣業・基幹システム移行	PHP, MySQL, Kintone	システムコンサルタント	要求定義, 基本設計
2019年07月	2020年10月	座席予約管理システム	Ruby, PostgreSQL, heroku, AWS	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2019年10月	2021年07月	ECサイトバックエンド	GCP/Firebase, iOS/Swift	システムコンサルタント	要求定義, 開発管理
2020年08月	2021年04月	サイトフロントエンドNuxt移行	PHP, WordPress, Nuxt	システムエンジニア	詳細設計, プログラミング, テスト, 開発管理
2020年09月	2021年01月	VR/ARサービス管理画面追加開発	Ruby, HTML/CSS, JavaScript	システムコンサルタント	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2020年11月	2023年06月	従業員健康管理プラットフォーム	Ruby, HTML/CSS, JavaScript, AWS, heroku	CTO（開発責任者）	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2021年01月	2025年05月	求人・求職者シェアリングサービス（新卒向け）	Ruby, HTML/CSS, JavaScript, AWS, heroku	開発責任者	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2021年03月	2021年03月	VR/ARサービス紹介サイト改修・構築	WordPress, HTML/CSS, JavaScript, AWS	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 開発管理
2021年03月	2021年10月	ヘルスケア食品関連ECサイト構築	Ruby, HTML/CSS, JavaScript, AWS, heroku	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2021年09月	2021年09月	中古車サイト改修・構築	WordPress, HTML/CSS, JavaScript, AWS	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 開発管理
2022年04月	2022年09月	人事労務管理SaaS API追加開発	Ruby	システムコンサルタント	要求定義, 開発管理
2022年07月	2022年07月	サイト制作 CMS構築	PHP, MySQL WordPress, JavaScript	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 開発管理
2022年12月	2023年08月	AI経理サービス開発・導入支援	Ruby, JavaScript, JetAdmin, GCP	システムコンサルタント	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2024年07月	2025年05月	コンサルティングファーム情報システム開発支援	C#, React, Azure	システムコンサルタント	要求定義, 基本設計, 詳細設計 開発管理
2024年08月	2024年10月	経営ダッシュボード AI連携開発	Ruby, HTML/CSS, JavaScript, AWS, heroku	システムコンサルタント	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 運用保守, 開発管理
2024年12月	2025年05月	飲食チェーン店サイト構築	HTML/CSS, JavaScript	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 開発管理, 運用保守
2025年03月	2025年04月	映画サイト改修・サーバー移行・ドメイン移行	WordPress, HTML/CSS, JavaScript	システムエンジニア	要求定義, 基本設計, 詳細設計, プログラミング, テスト, 開発管理, 運用保守